source_id,source_id_edr3,in_SetA,in_SetB,n_cdips_sector,period,lspval,nequal,nclose,nfaint,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,subcluster,in_CG18,in_KC19,in_M21,(Bp-Rp)_0,is_phot_bin,is_astrm_bin,ruwe,Li_EW_mA_GaiaESO,Li_EW_mA_perr_GaiaESO,Li_EW_mA_merr_GaiaESO,Li_EW_mA_GALAH,Li_EW_mA_perr_GALAH,Li_EW_mA_merr_GALAH
5291120540097589632,5291120540097589632,1,1,5,2.3452,0.275,0,1,1,118.8280218683,-59.6358568959,2015.5,2.564,0.051,-5.057,10.899,12.662,13.15,12.032,21.02,1.92,halo,0,1,0,0.984,1,1,5.947,,,,,,
5487732426236240256,5487732426236240256,1,1,5,6.7145,0.0839,0,1,1,114.2987553849,-56.5152243226,2015.5,2.066,0.061,-2.779,10.554,16.943,18.024,15.919,,,halo,0,1,0,1.97,0,0,0.983,,,,,,
5290742411177350144,5290742411177350144,1,1,3,4.818,0.2305,0,1,1,119.1837607708,-60.5811290547,2015.5,2.429,0.015,-4.639,11.439,13.363,13.781,12.791,,,core,1,1,1,0.856,0,0,1.01,129.4,5.0,5.0,139.5,5.0,5.0
5488145773889555584,5488145773889555584,1,1,2,4.8172,0.451,0,1,1,115.6675936324,-54.9938163398,2015.5,2.511,0.013,-5.328,12.199,13.349,13.783,12.764,,,halo,0,1,0,0.885,0,0,0.982,,,,,,
5290657989300789632,5290657989300789632,1,1,6,6.2166,0.5242,0,1,1,119.0500525124,-61.2638900411,2015.5,2.664,0.016,-3.482,12.207,13.806,14.349,13.121,,,halo,0,1,0,1.094,1,0,1.106,,,,,,
5290765397843334912,5290765397843334912,1,1,7,4.0304,0.3059,0,1,2,119.9859037449,-60.8244945707,2015.5,2.434,0.025,-4.388,11.877,11.627,11.85,11.047,-11.2,11.19,core,1,1,0,0.668,1,0,0.984,-1.5,52.9,5.0,,,
5290938021166494464,5290938021166494464,1,1,3,8.9947,0.3217,0,1,1,118.3375968997,-60.586667593,2015.5,2.424,0.031,-3.97,11.213,15.77,16.605,14.869,,,core,1,1,1,1.602,0,0,1.033,,,,,,
5291910470480417280,5291910470480417280,1,1,11,7.9069,0.1942,0,1,1,112.8713937593,-62.1573417768,2015.5,2.682,0.017,-2.797,12.973,14.346,14.928,13.635,,,halo,0,1,1,1.158,0,0,1.048,,,,,,
5288535107223500928,5288535107223500928,1,1,11,6.356,0.2963,0,1,1,114.4370399051,-63.5514824885,2015.5,2.541,0.018,-3.929,12.732,13.78,14.283,13.133,,,halo,0,1,0,1.015,0,1,1.93,,,,,,
5294345682578824192,5294345682578824192,1,1,4,5.9293,0.374,0,1,1,116.5503217661,-58.9107790401,2015.5,2.373,0.025,-4.199,10.975,15.508,16.28,14.657,,,halo,0,1,1,1.488,0,0,1.038,,,,,,
5275673329439445760,5275673329439445760,1,1,9,2.4347,0.2201,0,1,1,120.2398266661,-64.5435277656,2015.5,2.87,0.028,-5.376,13.237,12.126,12.449,11.649,22.31,1.62,halo,0,1,1,0.666,0,0,0.901,,,,90.2,7.0,7.8
5289484844752350848,5289484844752350848,1,1,7,8.5301,0.2632,0,1,1,120.1365460725,-63.1915492534,2015.5,2.455,0.018,-4.83,11.831,14.471,15.042,13.77,,,halo,0,1,1,1.137,0,0,0.988,,,,,,
5290637476536975872,5290637476536975872,1,1,6,10.022,0.309,0,1,2,118.8255738949,-61.3030979123,2015.5,2.398,0.04,-3.25,11.198,16.108,17.053,15.139,,,core,1,1,0,1.78,0,0,1.007,,,,,,
5289901490940760576,5289901490940760576,1,1,7,2.1603,0.1159,0,1,2,120.7795015685,-61.8347541412,2015.5,2.379,0.057,-4.246,11.118,16.763,17.837,15.732,,,halo,0,1,0,1.97,0,0,1.016,,,,,,
5291041031662188288,5291041031662188288,1,1,5,2.0617,0.4708,0,1,2,119.5874879856,-60.0107711158,2015.5,2.409,0.033,-4.584,10.582,15.86,16.698,14.958,,,core,1,1,1,1.605,0,0,1.036,,,,,,
5287840314655274496,5287840314655274496,1,1,11,2.353,0.1836,0,1,2,118.0654879029,-64.1195973231,2015.5,2.525,0.041,-4.713,11.941,12.401,12.653,11.75,24.95,3.41,halo,0,1,0,0.768,1,1,2.592,,,,,,
5290716675733528960,5290716675733528960,1,1,7,0.3574,0.1356,0,1,1,119.0602922977,-60.9086808379,2015.5,2.444,0.046,-4.522,11.766,16.537,17.644,15.427,,,core,1,1,1,2.082,1,0,0.878,-1.5,20.0,20.0,,,
5288067058867229568,5288067058867229568,1,1,8,4.6319,0.2338,0,1,2,119.0259185573,-62.8501602019,2015.5,2.431,0.057,-4.388,11.655,16.507,17.523,15.509,,,halo,0,1,1,1.879,0,0,1.038,,,,,,
5293992945504646272,5293992945504646272,1,1,5,5.7309,0.4203,0,1,1,117.7064605034,-60.0787378245,2015.5,2.396,0.017,-3.736,11.238,13.952,14.455,13.292,,,halo,0,1,1,1.029,0,0,1.077,,,,193.2,5.1,10.9
5290770998480701184,5290770998480701184,1,1,7,0.4863,0.2185,0,1,1,120.2315094271,-60.7613306668,2015.5,2.374,0.017,-5.424,10.644,14.287,14.832,13.594,,,core,1,1,1,1.104,0,0,0.923,236.6,5.0,5.0,,,
5289064693871144064,5289064693871144064,1,1,9,5.3138,0.5149,0,1,1,117.1662386198,-62.4548477931,2015.5,2.449,0.016,-3.802,11.469,13.572,14.014,12.979,,,halo,0,1,1,0.9,0,0,1.006,,,,,,
5294625336489390592,5294625336489390592,1,1,3,3.5337,0.6149,0,1,1,120.0809961307,-58.2042979453,2015.5,2.217,0.012,-4.676,9.901,13.168,13.569,12.599,,,halo,0,1,1,0.836,1,0,0.967,,,,,,
5290770826682093312,5290770826682093312,1,1,7,3.8433,0.4718,0,1,1,120.2161073653,-60.7832433756,2015.5,2.491,0.025,-5.721,11.564,13.065,13.469,12.5,,,core,1,1,0,0.835,0,1,2.133,135.7,5.0,5.0,,,
5290756361232528768,5290756361232528768,1,1,5,3.5973,0.7327,0,1,1,120.6910789583,-60.8093075126,2015.5,2.397,0.02,-5.592,10.813,12.84,13.201,12.316,,,core,1,1,1,0.751,0,0,1.028,,,,,,
5290713686436348800,5290713686436348800,1,1,7,0.8457,0.1993,0,1,1,118.747968961,-61.0729666663,2015.5,2.424,0.06,-4.74,12.501,17.089,18.365,15.957,,,core,1,1,0,2.274,1,0,0.978,62.5,23.9,21.0,,,
5295974024940559232,5295974024940559232,1,1,3,7.9357,0.2945,0,1,1,117.7497435222,-56.3031366998,2015.5,2.454,0.019,-4.55,10.845,14.716,15.324,13.985,,,halo,0,1,1,1.205,0,0,1.033,,,,,,
5289872972356315520,5289872972356315520,1,1,6,7.3881,0.1127,0,1,1,119.6776060255,-61.6380582416,2015.5,2.401,0.018,-4.471,11.719,14.171,14.703,13.497,,,core,1,1,1,1.072,0,0,0.963,,,,,,
5295157534476767360,5295157534476767360,1,1,3,0.5202,0.0905,0,1,1,116.8702774427,-58.1050926973,2015.5,2.526,0.019,-8.064,10.172,11.464,11.739,11.043,24.6,3.78,halo,0,1,0,0.562,0,0,0.815,,,,,,
5294123546870213888,5294123546870213888,1,1,4,6.152,0.3896,0,1,1,118.46716495,-59.5753450849,2015.5,2.134,0.014,-4.301,10.229,14.192,14.689,13.544,,,halo,0,1,1,1.011,0,0,0.992,,,,99.9,5.2,8.5
5294102484350193152,5294102484350193152,1,1,2,6.0966,0.6546,0,1,1,117.9940245609,-59.2478278933,2015.5,2.52,0.016,-3.924,11.321,13.78,14.267,13.142,,,halo,0,1,1,0.991,0,0,0.939,,,,,,
